OrderID,PaymentID,Cash,Transfer,PaymentDate
ORD065652,PAYM486663,no,yes,2023-05-03
ORD007612,PAYM738261,no,yes,2023-08-09
ORD050424,PAYM420103,yes,no,2023-06-20
ORD040612,PAYM272225,no,yes,2023-06-05
ORD052781,PAYM301096,no,yes,2023-05-31
ORD079395,PAYM870226,no,yes,2023-08-15
ORD038229,PAYM869657,yes,no,2023-10-04
ORD049072,PAYM352097,yes,no,2023-12-14
ORD046988,PAYM278082,no,yes,2023-12-01
ORD077722,PAYM501358,yes,no,2023-08-06
ORD044846,PAYM936120,no,yes,2023-11-16
ORD072485,PAYM470848,yes,no,2023-10-11
ORD067139,PAYM763872,yes,no,2023-12-17
ORD003939,PAYM370773,yes,no,2023-05-31
ORD048337,PAYM974739,no,yes,2023-08-24
ORD077168,PAYM256696,no,yes,2023-11-22
ORD010439,PAYM904288,no,yes,2023-01-29
ORD066482,PAYM319771,no,yes,2023-06-03
ORD006469,PAYM926032,yes,no,2023-02-20
ORD070703,PAYM223442,no,yes,2023-09-17
ORD031310,PAYM127309,yes,no,2023-12-28
ORD008188,PAYM893277,no,yes,2023-07-28
ORD047516,PAYM826165,no,yes,2023-11-01
ORD066140,PAYM612385,yes,no,2023-11-23
ORD032700,PAYM594652,no,yes,2023-11-09
ORD077077,PAYM908370,no,yes,2023-08-25
ORD068263,PAYM480876,no,yes,2023-12-12
ORD012340,PAYM921858,no,yes,2023-01-05
ORD050911,PAYM405706,no,yes,2023-06-01
ORD002987,PAYM694740,yes,no,2023-06-03
ORD035620,PAYM149615,no,yes,2023-03-18
ORD067544,PAYM700174,no,yes,2023-05-22
ORD073671,PAYM983051,yes,no,2023-05-20
ORD024285,PAYM851460,no,yes,2023-04-12
ORD081239,PAYM435100,no,yes,2023-10-17
ORD061885,PAYM879876,no,yes,2023-03-30
ORD026452,PAYM431485,yes,no,2023-09-22
ORD033569,PAYM280982,yes,no,2023-09-26
ORD036807,PAYM409396,yes,no,2023-04-01
ORD032238,PAYM942119,yes,no,2023-06-30
ORD032340,PAYM116892,no,yes,2023-04-26
ORD024323,PAYM611726,no,yes,2023-06-16
ORD027488,PAYM615870,no,yes,2023-10-21
ORD068322,PAYM813587,no,yes,2023-02-19
ORD061719,PAYM554124,no,yes,2023-07-22
ORD019603,PAYM313949,yes,no,2023-08-05
ORD046626,PAYM620695,no,yes,2023-04-24
ORD046556,PAYM209860,no,yes,2023-08-10
ORD069141,PAYM994230,yes,no,2023-07-22
ORD005858,PAYM350845,yes,no,2023-10-20
ORD016077,PAYM449850,no,yes,2023-06-11
ORD066992,PAYM280884,yes,no,2023-01-12
ORD024375,PAYM881590,yes,no,2023-01-14
ORD077408,PAYM933634,no,yes,2023-08-09
ORD039110,PAYM577195,yes,no,2023-09-16
ORD000903,PAYM461625,no,yes,2023-01-29
ORD036086,PAYM279042,no,yes,2023-04-20
ORD054819,PAYM290733,no,yes,2023-03-09
ORD019748,PAYM516030,no,yes,2023-07-17
ORD006727,PAYM960157,yes,no,2023-10-24
ORD015822,PAYM341692,yes,no,2023-01-21
ORD043522,PAYM129136,no,yes,2023-05-11
ORD064819,PAYM458708,no,yes,2023-01-22
ORD010382,PAYM942617,yes,no,2023-11-26
ORD039991,PAYM244390,yes,no,2023-10-18
ORD041641,PAYM530524,no,yes,2023-01-23
ORD052029,PAYM838836,yes,no,2023-11-22
ORD064080,PAYM352545,yes,no,2023-09-02
ORD060452,PAYM194318,yes,no,2023-07-24
ORD078931,PAYM659571,yes,no,2023-09-26
ORD054991,PAYM680116,yes,no,2023-10-13
ORD054585,PAYM993640,yes,no,2023-06-03
ORD006382,PAYM740997,no,yes,2023-02-26
ORD071569,PAYM593965,no,yes,2023-01-23
ORD030090,PAYM341360,yes,no,2023-07-04
ORD066429,PAYM689381,yes,no,2023-02-17
ORD046125,PAYM168965,yes,no,2023-11-10
ORD011505,PAYM478242,yes,no,2023-02-05
ORD024125,PAYM235169,yes,no,2023-05-19
ORD073047,PAYM205412,yes,no,2023-05-27
ORD069170,PAYM931046,no,yes,2023-02-01
ORD019281,PAYM398560,no,yes,2023-11-30
ORD024386,PAYM727917,no,yes,2023-04-19
ORD010668,PAYM188493,no,yes,2023-03-21
ORD002345,PAYM109224,yes,no,2023-02-28
ORD047258,PAYM110029,no,yes,2023-09-20
ORD012636,PAYM610777,yes,no,2023-05-14
ORD072447,PAYM145671,no,yes,2023-05-18
ORD066440,PAYM899604,yes,no,2023-01-31
ORD034336,PAYM526800,yes,no,2023-11-20
ORD054406,PAYM431151,no,yes,2023-06-15
ORD064360,PAYM597742,no,yes,2023-09-05
ORD003968,PAYM924220,yes,no,2023-10-14
ORD021783,PAYM752891,yes,no,2023-01-16
ORD043540,PAYM243411,yes,no,2023-06-28
ORD020937,PAYM337956,yes,no,2023-03-12
ORD044796,PAYM895334,yes,no,2023-01-29
ORD012163,PAYM241246,no,yes,2023-07-26
ORD024155,PAYM813194,no,yes,2023-12-31
ORD043707,PAYM635526,yes,no,2023-12-18
ORD064683,PAYM330832,yes,no,2023-06-03
ORD046510,PAYM922991,no,yes,2023-12-10
ORD079908,PAYM604205,no,yes,2023-04-15
ORD039239,PAYM860724,no,yes,2023-04-12
ORD038448,PAYM109360,yes,no,2023-03-31
ORD008900,PAYM796230,yes,no,2023-05-06
ORD060487,PAYM257321,no,yes,2023-12-18
ORD027874,PAYM816191,yes,no,2023-08-03
ORD013954,PAYM263761,yes,no,2023-05-26
ORD048386,PAYM294037,yes,no,2023-09-19
ORD049646,PAYM416190,yes,no,2023-10-29
ORD075016,PAYM915747,no,yes,2023-06-02
ORD070541,PAYM417552,no,yes,2023-07-12
ORD013149,PAYM852463,yes,no,2023-07-22
ORD005764,PAYM117608,yes,no,2023-03-20
ORD015835,PAYM119886,no,yes,2023-10-30
ORD082773,PAYM752184,no,yes,2023-08-26
ORD075004,PAYM316506,no,yes,2023-05-08
ORD076270,PAYM119417,no,yes,2023-10-02
ORD051679,PAYM509206,no,yes,2023-01-07
ORD025624,PAYM511877,yes,no,2023-07-10
ORD017192,PAYM108918,no,yes,2023-08-21
ORD062231,PAYM476727,yes,no,2023-09-13
ORD018256,PAYM388138,yes,no,2023-03-09
ORD050072,PAYM881593,yes,no,2023-07-30
ORD007726,PAYM952237,no,yes,2023-07-24
ORD014236,PAYM791290,no,yes,2023-12-14
ORD021637,PAYM484013,yes,no,2023-09-13
ORD074083,PAYM583969,no,yes,2023-08-27
ORD002006,PAYM154350,no,yes,2023-09-07
ORD045465,PAYM939508,no,yes,2023-08-20
ORD038659,PAYM476030,yes,no,2023-06-29
ORD066744,PAYM234059,yes,no,2023-12-16
ORD012496,PAYM616630,yes,no,2023-05-08
ORD043718,PAYM904985,yes,no,2023-02-03
ORD040294,PAYM396521,no,yes,2023-02-09
ORD040345,PAYM126461,no,yes,2023-08-29
ORD031812,PAYM808128,yes,no,2023-10-21
ORD011089,PAYM570923,yes,no,2023-09-30
ORD027376,PAYM368636,yes,no,2023-09-09
ORD043692,PAYM423791,no,yes,2023-07-10
ORD063206,PAYM927456,yes,no,2023-05-30
ORD027858,PAYM560273,no,yes,2023-04-06
ORD012591,PAYM379897,no,yes,2023-05-27
ORD050568,PAYM619811,yes,no,2023-07-26
ORD046045,PAYM803107,yes,no,2023-06-16
ORD071429,PAYM522861,no,yes,2023-06-05
ORD074754,PAYM210437,yes,no,2023-08-06
ORD044964,PAYM871461,no,yes,2023-10-28
ORD049980,PAYM983795,no,yes,2023-08-05
ORD021409,PAYM258677,no,yes,2023-04-24
ORD004333,PAYM878306,no,yes,2023-01-17
ORD013788,PAYM406314,no,yes,2023-02-08
ORD072945,PAYM819310,yes,no,2023-04-29
ORD005545,PAYM781672,yes,no,2023-06-02
ORD019253,PAYM327446,yes,no,2023-08-15
ORD038552,PAYM530710,yes,no,2023-02-05
ORD013909,PAYM673481,yes,no,2024-01-01
ORD044871,PAYM387478,yes,no,2023-10-15
ORD065719,PAYM674364,no,yes,2023-12-20
ORD013674,PAYM930199,yes,no,2023-01-21
ORD032484,PAYM934255,yes,no,2023-10-20
ORD072227,PAYM182396,yes,no,2023-11-22
ORD026507,PAYM775997,yes,no,2023-09-15
ORD082118,PAYM633139,no,yes,2023-01-12
ORD039781,PAYM204163,no,yes,2023-08-06
ORD005551,PAYM237267,yes,no,2023-04-22
ORD000849,PAYM164669,no,yes,2023-01-24
ORD049237,PAYM189796,yes,no,2023-08-22
ORD065733,PAYM448521,yes,no,2023-05-22
ORD071000,PAYM212906,yes,no,2023-04-19
ORD060389,PAYM929895,yes,no,2023-12-29
ORD070724,PAYM764574,no,yes,2023-04-13
ORD056062,PAYM890671,no,yes,2023-07-03
ORD034779,PAYM526529,no,yes,2023-12-16
ORD037806,PAYM345603,no,yes,2023-02-11
ORD009464,PAYM790558,yes,no,2023-05-29
ORD071064,PAYM232090,yes,no,2023-03-28
ORD001705,PAYM751489,yes,no,2024-01-02
ORD077988,PAYM263754,yes,no,2023-05-15
ORD058597,PAYM101815,yes,no,2023-08-04
ORD007899,PAYM834985,no,yes,2023-07-05
ORD064754,PAYM864063,no,yes,2023-04-13
ORD050872,PAYM106729,no,yes,2023-05-25
ORD060432,PAYM220812,no,yes,2023-09-22
ORD055204,PAYM345863,no,yes,2023-02-27
ORD014414,PAYM165175,no,yes,2023-04-02
ORD078408,PAYM434172,yes,no,2023-04-01
ORD065540,PAYM828113,yes,no,2023-06-07
ORD080710,PAYM960309,yes,no,2023-07-08
ORD047360,PAYM652113,yes,no,2023-02-27
ORD040100,PAYM806340,no,yes,2023-06-15
ORD000003,PAYM602677,yes,no,2023-12-17
ORD075495,PAYM445012,yes,no,2023-04-22
ORD047248,PAYM353366,yes,no,2023-04-08
ORD056010,PAYM171658,no,yes,2023-05-01
ORD065067,PAYM393994,yes,no,2023-05-18
ORD048389,PAYM829737,no,yes,2023-04-21
ORD036728,PAYM932027,yes,no,2023-12-25
ORD018288,PAYM921403,yes,no,2023-09-06
ORD028509,PAYM133924,yes,no,2023-11-11
ORD061812,PAYM961135,no,yes,2023-09-22
ORD046390,PAYM144003,yes,no,2023-10-19
ORD066554,PAYM682179,yes,no,2023-06-07
ORD035910,PAYM749500,no,yes,2023-02-26
ORD043800,PAYM552807,no,yes,2023-04-12
ORD032140,PAYM150176,no,yes,2023-08-18
ORD022879,PAYM867916,yes,no,2023-07-06
ORD003087,PAYM899466,yes,no,2023-01-14
ORD048638,PAYM456710,no,yes,2023-03-06
ORD048323,PAYM994460,yes,no,2023-08-10
ORD043097,PAYM449741,no,yes,2023-01-12
ORD052117,PAYM907954,yes,no,2023-04-06
ORD023011,PAYM632917,no,yes,2023-09-05
ORD061823,PAYM800200,no,yes,2023-04-10
ORD014459,PAYM142941,yes,no,2023-02-15
ORD009252,PAYM170075,no,yes,2023-06-07
ORD035642,PAYM158119,no,yes,2023-12-05
ORD010708,PAYM291788,yes,no,2023-11-21
ORD006876,PAYM751235,yes,no,2023-05-18
ORD037269,PAYM100156,yes,no,2023-01-04
ORD073607,PAYM349280,yes,no,2023-12-14
ORD012415,PAYM238135,yes,no,2023-06-17
ORD068349,PAYM664655,no,yes,2023-12-17
ORD008987,PAYM820925,no,yes,2023-02-26
ORD047636,PAYM777564,yes,no,2023-02-26
ORD025032,PAYM145947,yes,no,2023-07-06
ORD018487,PAYM245933,no,yes,2023-01-10
ORD082781,PAYM495823,no,yes,2023-07-11
ORD017012,PAYM187951,yes,no,2023-11-23
ORD060971,PAYM236481,no,yes,2023-04-10
ORD000266,PAYM291063,no,yes,2023-07-18
ORD056993,PAYM772263,yes,no,2023-05-10
ORD061830,PAYM201483,no,yes,2023-05-05
ORD038149,PAYM831015,yes,no,2023-03-31
ORD069074,PAYM625388,no,yes,2023-05-06
ORD073342,PAYM291122,no,yes,2023-06-29
ORD010641,PAYM183768,yes,no,2023-07-18
ORD053192,PAYM511221,yes,no,2023-08-02
ORD057130,PAYM332885,yes,no,2023-12-01
ORD075818,PAYM420504,no,yes,2023-04-27
ORD050336,PAYM181329,yes,no,2023-04-03
ORD056153,PAYM854528,yes,no,2023-07-31
ORD058621,PAYM470336,yes,no,2023-11-30
ORD044342,PAYM770083,yes,no,2023-06-20
ORD033136,PAYM271032,no,yes,2023-01-15
ORD046202,PAYM476889,yes,no,2023-11-01
ORD028434,PAYM377302,no,yes,2023-02-01
ORD071253,PAYM694725,no,yes,2023-04-23
ORD010451,PAYM564092,no,yes,2023-07-20
ORD056044,PAYM549261,yes,no,2023-01-30
ORD020735,PAYM119618,no,yes,2023-11-30
ORD048775,PAYM146490,yes,no,2023-04-12
ORD056228,PAYM510270,no,yes,2023-01-18
ORD030033,PAYM466846,yes,no,2023-12-15
ORD074361,PAYM802021,yes,no,2023-02-06
ORD004048,PAYM304331,yes,no,2023-05-18
ORD037566,PAYM343361,no,yes,2023-12-12
ORD006684,PAYM739970,yes,no,2023-11-07
ORD067801,PAYM111519,no,yes,2023-11-14
ORD056988,PAYM314624,no,yes,2023-10-06
ORD030822,PAYM834093,no,yes,2023-07-02
ORD046341,PAYM669443,no,yes,2023-04-12
ORD014754,PAYM552358,no,yes,2023-01-10
ORD037608,PAYM718052,no,yes,2023-11-13
ORD023627,PAYM407436,no,yes,2023-02-21
ORD081197,PAYM406826,yes,no,2023-03-19
ORD076836,PAYM587753,no,yes,2023-11-04
ORD081766,PAYM395753,yes,no,2023-10-05
ORD050325,PAYM522215,yes,no,2023-09-13
ORD033037,PAYM685053,no,yes,2023-08-28
ORD058079,PAYM253214,no,yes,2023-04-10
ORD030034,PAYM273053,yes,no,2023-08-28
ORD042739,PAYM839340,no,yes,2023-07-20
ORD052941,PAYM103788,no,yes,2023-12-28
ORD052330,PAYM147008,no,yes,2023-04-07
ORD010906,PAYM234004,no,yes,2023-12-26
ORD004451,PAYM362377,yes,no,2023-09-22
ORD034939,PAYM898847,no,yes,2023-01-29
ORD082973,PAYM712811,no,yes,2023-09-23
ORD066592,PAYM409993,no,yes,2023-06-01
ORD039137,PAYM778306,yes,no,2023-09-15
ORD018776,PAYM761578,no,yes,2023-05-23
ORD066255,PAYM621723,no,yes,2023-05-30
ORD013928,PAYM809451,no,yes,2023-09-10
ORD081901,PAYM531287,no,yes,2023-02-20
ORD026510,PAYM559754,no,yes,2023-10-22
ORD078645,PAYM928031,no,yes,2023-11-27
ORD055566,PAYM142808,no,yes,2023-03-13
ORD005908,PAYM178220,yes,no,2023-10-13
ORD063431,PAYM834397,yes,no,2023-09-03
ORD050094,PAYM700058,yes,no,2023-06-11
ORD003126,PAYM655992,yes,no,2023-05-28
ORD007116,PAYM346753,yes,no,2023-12-21
ORD034538,PAYM993905,yes,no,2023-07-11
ORD064119,PAYM519452,yes,no,2023-12-28
ORD003437,PAYM356044,no,yes,2023-01-22
ORD020155,PAYM105830,yes,no,2023-11-11
ORD006859,PAYM747670,yes,no,2023-04-04
ORD029459,PAYM717378,no,yes,2023-01-08
ORD079293,PAYM377229,yes,no,2023-11-02
ORD014464,PAYM561734,yes,no,2023-02-06
ORD007060,PAYM628709,no,yes,2023-01-08
ORD078675,PAYM286100,no,yes,2023-12-05
ORD032742,PAYM128445,yes,no,2023-08-23
ORD046759,PAYM823063,no,yes,2023-10-18
ORD083176,PAYM921461,yes,no,2023-10-31
ORD033105,PAYM131509,yes,no,2023-01-18
ORD050966,PAYM483573,no,yes,2023-09-10
ORD003735,PAYM428118,no,yes,2023-07-05
ORD058867,PAYM475023,yes,no,2023-10-24
ORD027086,PAYM916827,no,yes,2023-09-25
ORD043368,PAYM781843,yes,no,2023-09-05
ORD012316,PAYM253784,no,yes,2023-12-05
ORD034648,PAYM479268,no,yes,2023-01-07
ORD035787,PAYM798245,yes,no,2023-09-01
ORD077171,PAYM720006,yes,no,2023-11-08
ORD034806,PAYM438036,yes,no,2023-09-10
ORD001268,PAYM916130,no,yes,2023-07-22
ORD021891,PAYM597951,no,yes,2023-06-02
ORD045950,PAYM400074,no,yes,2023-03-25
ORD021710,PAYM514381,yes,no,2023-11-22
ORD061216,PAYM644319,no,yes,2023-08-06
ORD039518,PAYM237939,yes,no,2023-09-13
ORD057894,PAYM952977,no,yes,2023-10-26
ORD013304,PAYM175120,yes,no,2023-10-04
ORD048547,PAYM105367,yes,no,2023-11-02
ORD027922,PAYM255234,no,yes,2023-09-14
ORD059839,PAYM317303,no,yes,2023-07-05
ORD059930,PAYM796319,no,yes,2023-10-10
ORD003292,PAYM195403,no,yes,2023-12-28
ORD045414,PAYM200873,yes,no,2023-12-07
ORD029091,PAYM962987,no,yes,2023-08-28
ORD012573,PAYM479045,no,yes,2023-12-31
ORD046699,PAYM617943,yes,no,2023-09-30
ORD006501,PAYM218638,no,yes,2023-06-07
ORD036457,PAYM780669,no,yes,2023-09-17
ORD041251,PAYM664248,no,yes,2023-10-30
ORD049307,PAYM177963,yes,no,2023-08-20
ORD037932,PAYM793821,no,yes,2023-03-10
ORD021858,PAYM888701,no,yes,2023-04-06
ORD024627,PAYM804270,yes,no,2023-03-03
ORD036661,PAYM889322,no,yes,2023-05-02
ORD030266,PAYM841071,yes,no,2023-10-31
ORD001149,PAYM563366,no,yes,2023-06-02
ORD070781,PAYM892490,yes,no,2023-07-14
ORD017576,PAYM113178,no,yes,2023-06-05
ORD056688,PAYM672003,yes,no,2023-04-13
ORD056054,PAYM692925,no,yes,2023-08-05
ORD061036,PAYM416697,yes,no,2023-01-11
ORD073079,PAYM763367,no,yes,2023-03-22
ORD038167,PAYM167064,yes,no,2023-08-12
ORD002415,PAYM553356,yes,no,2023-06-28
ORD079451,PAYM550857,yes,no,2023-10-27
ORD055360,PAYM754789,no,yes,2023-09-14
ORD070806,PAYM747004,yes,no,2023-02-15
ORD074288,PAYM344541,no,yes,2023-10-13
ORD043885,PAYM613924,yes,no,2023-05-27
ORD058039,PAYM119304,no,yes,2023-04-16
ORD079969,PAYM657081,no,yes,2023-06-03
ORD036224,PAYM419405,yes,no,2023-02-24
ORD059669,PAYM630412,yes,no,2023-05-19
ORD059145,PAYM310631,no,yes,2023-12-18
ORD029756,PAYM811985,no,yes,2023-11-08
ORD073849,PAYM859000,no,yes,2023-09-20
ORD004229,PAYM981826,yes,no,2023-04-05
ORD008569,PAYM368095,yes,no,2023-04-16
ORD051027,PAYM338019,no,yes,2023-05-26
ORD075640,PAYM840814,yes,no,2023-02-12
ORD079477,PAYM316114,yes,no,2023-07-30
ORD047970,PAYM516524,yes,no,2023-01-18
ORD054382,PAYM989884,no,yes,2023-10-09
ORD051378,PAYM122848,yes,no,2023-03-03
ORD015235,PAYM528332,yes,no,2023-02-01
ORD074533,PAYM682563,yes,no,2023-04-16
ORD061551,PAYM840489,yes,no,2023-10-11
ORD068490,PAYM834292,no,yes,2023-12-30
ORD005266,PAYM819612,no,yes,2023-08-30
ORD053603,PAYM136767,no,yes,2023-09-14
ORD045299,PAYM873368,yes,no,2023-12-07
ORD002321,PAYM565017,no,yes,2023-12-27
ORD030504,PAYM737798,no,yes,2023-12-30
ORD007765,PAYM822269,yes,no,2023-10-21
ORD067693,PAYM961785,yes,no,2023-11-01
ORD039194,PAYM690626,yes,no,2023-11-21
ORD004055,PAYM392441,no,yes,2023-10-07
ORD027579,PAYM325218,yes,no,2023-06-15
ORD045069,PAYM827009,yes,no,2023-05-21
ORD048833,PAYM151440,no,yes,2023-08-31
ORD006732,PAYM931850,yes,no,2023-12-16
ORD030753,PAYM471379,no,yes,2023-06-05
ORD065084,PAYM655764,no,yes,2023-12-03
ORD069793,PAYM998986,no,yes,2023-09-19
